CAcopios,Tiempo,CA
San Juan del Cesar,1,0.0
San Juan del Cesar,2,0.0
San Juan del Cesar,3,0.0
San Juan del Cesar,4,0.0
San Juan del Cesar,5,0.0
San Juan del Cesar,6,0.0
San Juan del Cesar,7,0.0
San Juan del Cesar,8,0.0
San Juan del Cesar,9,0.0
San Juan del Cesar,10,0.0
San Juan del Cesar,11,0.0
San Juan del Cesar,12,0.0
Riohacha,1,0.0
Riohacha,2,1.0
Riohacha,3,1.0
Riohacha,4,1.0
Riohacha,5,1.0
Riohacha,6,1.0
Riohacha,7,1.0
Riohacha,8,1.0
Riohacha,9,1.0
Riohacha,10,1.0
Riohacha,11,1.0
Riohacha,12,1.0
Maicao,1,0.0
Maicao,2,0.0
Maicao,3,0.0
Maicao,4,0.0
Maicao,5,0.0
Maicao,6,0.0
Maicao,7,0.0
Maicao,8,1.0
Maicao,9,1.0
Maicao,10,0.0
Maicao,11,0.0
Maicao,12,0.0
