Productos;Productores;Clientes;Tiempo;CostoTransAcopioClie
Queso duro;SAN JUAN DEL CESAR;Cliente 1;1;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;2;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;3;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;4;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;5;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;6;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;7;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;8;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;9;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;10;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;11;500
Queso duro;SAN JUAN DEL CESAR;Cliente 1;12;500
Queso duro;MAICAO;Cliente 1;1;260
Queso duro;MAICAO;Cliente 1;2;260
Queso duro;MAICAO;Cliente 1;3;260
Queso duro;MAICAO;Cliente 1;4;260
Queso duro;MAICAO;Cliente 1;5;260
Queso duro;MAICAO;Cliente 1;6;260
Queso duro;MAICAO;Cliente 1;7;260
Queso duro;MAICAO;Cliente 1;8;260
Queso duro;MAICAO;Cliente 1;9;260
Queso duro;MAICAO;Cliente 1;10;260
Queso duro;MAICAO;Cliente 1;11;260
Queso duro;MAICAO;Cliente 1;12;260
Queso duro;RIOHACHA;Cliente 1;1;369
Queso duro;RIOHACHA;Cliente 1;2;369
Queso duro;RIOHACHA;Cliente 1;3;369
Queso duro;RIOHACHA;Cliente 1;4;369
Queso duro;RIOHACHA;Cliente 1;5;369
Queso duro;RIOHACHA;Cliente 1;6;369
Queso duro;RIOHACHA;Cliente 1;7;369
Queso duro;RIOHACHA;Cliente 1;8;369
Queso duro;RIOHACHA;Cliente 1;9;369
Queso duro;RIOHACHA;Cliente 1;10;369
Queso duro;RIOHACHA;Cliente 1;11;369
Queso duro;RIOHACHA;Cliente 1;12;369
Queso blando;SAN JUAN DEL CESAR;Cliente 1;1;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;2;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;3;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;4;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;5;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;6;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;7;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;8;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;9;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;10;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;11;500
Queso blando;SAN JUAN DEL CESAR;Cliente 1;12;500
Queso blando;MAICAO;Cliente 1;1;260
Queso blando;MAICAO;Cliente 1;2;260
Queso blando;MAICAO;Cliente 1;3;260
Queso blando;MAICAO;Cliente 1;4;260
Queso blando;MAICAO;Cliente 1;5;260
Queso blando;MAICAO;Cliente 1;6;260
Queso blando;MAICAO;Cliente 1;7;260
Queso blando;MAICAO;Cliente 1;8;260
Queso blando;MAICAO;Cliente 1;9;260
Queso blando;MAICAO;Cliente 1;10;260
Queso blando;MAICAO;Cliente 1;11;260
Queso blando;MAICAO;Cliente 1;12;260
Queso blando;RIOHACHA;Cliente 1;1;369
Queso blando;RIOHACHA;Cliente 1;2;369
Queso blando;RIOHACHA;Cliente 1;3;369
Queso blando;RIOHACHA;Cliente 1;4;369
Queso blando;RIOHACHA;Cliente 1;5;369
Queso blando;RIOHACHA;Cliente 1;6;369
Queso blando;RIOHACHA;Cliente 1;7;369
Queso blando;RIOHACHA;Cliente 1;8;369
Queso blando;RIOHACHA;Cliente 1;9;369
Queso blando;RIOHACHA;Cliente 1;10;369
Queso blando;RIOHACHA;Cliente 1;11;369
Queso blando;RIOHACHA;Cliente 1;12;369
